date,amzn_close,amzn_volume,fb_close,fb_volume,intc_close,intc_volume
1/6/2016,632.650024,5329200,102.970001,25096200,33.080002,25491300
1/7/2016,607.940002,7074900,97.919998,45172900,31.84,37680500
1/8/2016,607.049988,5512900,97.330002,35402300,31.51,29953800
1/11/2016,617.73999,4891600,97.510002,29932400,32.060001,27732400
1/12/2016,617.890015,4724100,99.370003,28395400,32.68,28587700
1/13/2016,581.809998,7655200,95.440002,33410600,31.91,34445700
1/14/2016,593,7238000,98.370003,48658600,32.740002,48728200
1/15/2016,570.179993,7784500,94.970001,46132800,29.76,76373900
1/19/2016,574.47998,4807200,95.260002,30998300,29.799999,28878100
1/20/2016,571.77002,7966400,94.349998,59051400,29.59,39598200
1/21/2016,575.02002,4952200,94.160004,30518900,29.66,30157400
1/22/2016,596.380005,5120100,97.940002,30495400,29.93,25326500
1/25/2016,596.530029,4396100,97.010002,32482000,29.062021,26441000
1/26/2016,601.25,3765700,97.339996,26877100,29.940001,24754900
1/27/2016,583.349976,5152900,94.449997,58699400,29.809999,26384100
1/28/2016,635.349976,14015200,109.110001,107475300,29.969999,22028100
1/29/2016,587,14677600,112.209999,62739500,31.02,38311400
2/1/2016,574.809998,6355100,115.089996,46132700,30.82,19015100
2/2/2016,552.099976,6312000,114.610001,59778600,29.799999,24994300
2/3/2016,531.070007,10048700,112.690002,56919300,29.34,44660100
2/4/2016,536.26001,6199100,110.489998,38890200,29.77,29257800
2/5/2016,502.130005,9708900,104.070000,76894700,29.040001,27957500
2/8/2016,488.100006,9825500,99.750000,71229700,28.82,28725900
2/9/2016,482.070007,7077900,99.540001,62709000,28.809999,22902600
2/10/2016,490.480011,6786200,101.000000,45179400,28.23,27267800
2/11/2016,503.820007,7397400,101.910004,43670600,28.219999,28450200
2/12/2016,507.079987,5384800,102.010002,36176800,28.639999,19699000
2/16/2016,521.099976,5118500,101.610001,45687200,28.780001,30705200
2/17/2016,534.099976,4824000,105.199997,44073400,29.469999,27691700
2/18/2016,525,4735000,103.470001,29593500,29.42,20623300
2/19/2016,534.900024,4974700,104.570000,32404500,28.709999,42056700
2/22/2016,559.5,5566600,107.160004,35709700,29.35,23893100
2/23/2016,552.940002,4050800,105.459999,25319300,28.799999,26638200
2/24/2016,554.039978,6231700,106.879997,34412400,29.190001,21593600
2/25/2016,555.150024,4525500,108.070000,29906300,29.620001,17571400
2/26/2016,555.22998,4877000,107.919998,26686200,29.799999,19902200
2/29/2016,552.52002,4145400,106.919998,32779000,29.59,22903100
3/1/2016,579.039978,5038500,109.820000,26817300,30.370001,25502600
3/2/2016,580.210022,4582200,109.949997,25670200,30.540001,23779800
3/3/2016,577.48999,2741300,109.580002,21353100,30.58,25625200
3/4/2016,575.140015,3416500,108.389999,24938900,30.629999,20356800
3/7/2016,562.799988,4926900,105.730003,31436400,30.940001,18858200
3/8/2016,560.26001,4730000,105.930000,25617000,30.559999,19104900
3/9/2016,559.469971,4377300,107.510002,20493300,30.870001,14707800
3/10/2016,558.929993,3919900,107.320000,24854300,31.25,29584800
3/11/2016,569.609985,3771300,109.410004,20697600,31.76,22811200
3/14/2016,573.369995,3454200,109.889999,17249400,31.43,17438600
3/15/2016,577.02002,3876800,110.669998,17618500,31.65,16927700
3/16/2016,574.27002,3537700,112.180000,24744800,31.690001,26298400
3/17/2016,559.440002,5928100,111.019997,24241200,31.98,22865300
3/18/2016,552.080017,7296900,111.449997,36256900,32.68,49934200
3/21/2016,553.97998,5155700,111.849998,18448000,32.34,21760900
3/22/2016,560.47998,4000600,112.250000,19001100,32.32,22200400
3/23/2016,569.630005,3983700,112.540001,18562000,32,18765300
3/24/2016,582.950012,5185500,113.050003,17839100,31.879999,14211900
3/28/2016,579.869995,3121500,113.690002,21351800,31.9,11433000
3/29/2016,593.859985,4392600,116.139999,29825300,32.380001,15313200
3/30/2016,598.690002,3890500,114.699997,33235200,32.709999,16598000
